additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
Capacity of 189-757 million L/day. Assumes all equipment raised 91.4 cm above ground level. Mechanical/electrical equipment represents a greater percentage of the plant value than for the open design,Yes,RC,F14.7,V,,H (A+E+O),Medium water treatment plants closed/pressure,USA,F,Inundation,PWTM,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity above 757 million L/day. Assumes all equipment raised 91.4 cm above ground level. Mechanical/electrical equipment represents a greater percentage of the plant value than for the open design,Yes,RC,F14.8,V,,H (A+E+O),Large water treatment plants closed/pressure,USA,F,Inundation,PWTL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity above 38 million L/day. Above average flood design - less than average damage,Yes,RC,F14.9,V,,H (A+E+O),"small, medium and large plants closed/pressure",USA,F,Inundation,PWTL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes that electrical equipment and well vent/openings are 91.4 cm above grade, and that the well is not permemanty contaminated",Yes,RC,F15.1,V,,H (A+E+O),"Wells, capacity between 3.8 and 18.9 million L/day",USA,F,Inundation,PWE,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
No damage expected from submergence,No,RC,F16.1,V,,H (A+E+O),Exposed transmission pipeline crossing,USA,F,Inundation,PWP,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
No damage expected from submergence,No,RC,F16.2,V,,H (A+E+O),Buried transmission pipeline crossing,USA,F,Inundation,PWP,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
No damage expected from submergence,No,RC,F16.3,V,,H (A+E+O),Pipelines (non-crossing),USA,F,Inundation,PWP,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"A capacity of lower than 38 million L/day. Assumes entrance is 91.4 cm above ground level and is not sealed. Assumes all eletrical equipment is below grade. Once entrance level exceeded, entire pump station floods",Yes,RC,F17.1,V,,H (A+E+O),Pumping plants (small) below grade,USA,F,Inundation,PPPS,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"A capacity above 38 million L/day. Assumes entrance is 91.4 cm above ground level and is not sealed. Assumes all eletrical equipment is below grade. Once entrance level exceeded, entire pump station floods",Yes,RC,F17.2,V,,H (A+E+O),Pumping plants (medium/large) below grade,USA,F,Inundation,PPPM/PPPL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
A capacity of lower than 38 million L/day. Assumes all equipment raised 91.4 cm above ground level.,Yes,RC,F17.3,V,,H (A+E+O),Pumping plants (small) above grade,USA,F,Inundation,PPPS,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
A capacity above 38 million L/day. Assumes all equipment raised 91.4 cm above ground level.,Yes,RC,F17.4,V,,H (A+E+O),Pumping plants (medium/large) above grade,USA,F,Inundation,PPPM/PPPL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity greater than 518.4 L/d; in diked areas,Yes,RC,F17.5,V,,H(E+O),Pumping plants,Netherlands,F,Inundation,Damagefunction 2,"Yes, formula available for reconstruction of curve",Water,Kok et al. (2005),R,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
"Assumes entrance is at grade, and is not sealed",Yes,RC,F17.6,V,,H (A+E+O),Control vaults and stations,USA,F,Inundation,PCVS,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Capacity lower than 189 million L/d. Cleanup, repair of small motors, buried conduits, and transformers required when flood level exceeds ground level. Clean and repair of major electrical equipment initiated when flood level exceeds 91.4 cm. ",Yes,RC,F18.1,V,,H (A+E+O),Small wastewater treatment plants,USA,F,Inundation,WWTS,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Capacity 189-757 million L/d. Cleanup, repair of small motors, buried conduits, and transformers required when flood level exceeds ground level. Clean and repair of major electrical equipment initiated when flood level exceeds 91.4 cm. ",Yes,RC,F18.2,V,,H (A+E+O),Medium wastewater treatment plants,USA,F,Inundation,WWTM,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Capacity more than 757 million L/d. Cleanup, repair of small motors, buried conduits, and transformers required when flood level exceeds ground level. Clean and repair of major electrical equipment initiated when flood level exceeds 91.4 cm. ",Yes,RC,F18.3,V,,H (A+E+O),Large wastewater treatment plants,USA,F,Inundation,WWTL,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Less than average damage,Yes,RC,F18.4,V,,H (A+E+O),"Small, medium, large wastewater treatment plants",USA,F,Inundation,WWT,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
More than average damage,Yes,RC,F18.5,V,,H (A+E+O),"Small, medium, large wastewater treatment plants",USA,F,Inundation,WWT,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
WWTPs in diked areas,Yes,RC,F18.6,V,,H(E+O),Wastewater treatment plant,Netherlands,F,Inundation,Damagefunction 5,"Yes, formula available for reconstruction of curve",Waste,Kok et al. (2005),R,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
No damage expected from submergence,No,RC,F19.1,V,,H (A+E+O),Sewers & Interceptors: Exposed collector river crossings,USA,F,Inundation,WWP,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
No damage expected from submergence,No,RC,F19.2,V,,H (A+E+O),Sewers & Interceptors: Buried collector river crossings,USA,F,Inundation,WWP,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
,No,RC,F19.3,V,,H (A+E+O),Sewers & Interceptors: Pipes (non-crossings),USA,F,Inundation,WWP,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes electrical switch gear is located 91.4 cm above grade; functionality threshold depth at 121.9 cm; control room damaged starting at 0 cm, and maximized at 213.4 cm. Additional damage to cabling and incidental damage to transformers and switchgear. ",Yes,RC,F2.1,V,,H (A+E+O),"Small substation, low voltage: 34.5-150 kV",USA,F,Inundation,ESSL,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes electrical switch gear is located 91.4 cm above grade; functionality threshold depth at 121.9 cm; control room damaged starting at 0 cm, and maximized at 213.4 cm. Additional damage to cabling and incidental damage to transformers and switchgear. ",Yes,RC,F2.2,V,,H (A+E+O),"Medium substation, medium voltage: 150-350 kV",USA,F,Inundation,ESSM,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes electrical switch gear is located 91.4 cm above grade; functionality threshold depth at 121.9 cm; control room damaged starting at 0 cm, and maximized at 213.4 cm. Additional damage to cabling and incidental damage to transformers and switchgear. ",Yes,RC,F2.3,V,,H (A+E+O),"Large substation, high voltage: >350 kV",USA,F,Inundation,ESSH,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes entrance is at grade, and is not sealed",Yes,RC,F20.1,V,,H (A+E+O),Control vaults and control stations,USA,F,Inundation,WWCV,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes entrance is at grade, and is nat sealed. Assumes all eletrical equipment is below grade. Once entrance level exceeded, entire pump station floods; Capacity <38 million L/d",Yes,RC,F20.2,V,,H (A+E+O),"Lift stations: lift station (small), wet well/dry well",USA,F,Inundation,WLSS,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes entrance is at grade, and is nat sealed. Assumes all eletrical equipment is below grade. Once entrance level exceeded, entire pump station floods; capacity medium: 38-189 million L/d, or large: >189 L/d",Yes,RC,F20.3,V,,H (A+E+O),"Lift stations: lift station (medium large), wet well/dry well",USA,F,Inundation,WLSM/WLSL,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes entrance is at grade, and is nat sealed. Assumes all eletrical equipment is below grade. Once entrance level exceeded, entire pump station floods. Damage limitied to only eletrical equipment, not harming submersible pumps; Capacity <38 million L/d",Yes,RC,F20.4,V,,H (A+E+O),"Lift stations: lift station (small), submersible",USA,F,Inundation,WLSS,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Assumes entrance is at grade, and is nat sealed. Assumes all eletrical equipment is below grade. Once entrance level exceeded, entire pump station floods. Damage limitied to only eletrical equipment, not harming submersible pumps; capacity medium: 38-189 million L/d, or large: >189 L/d",Yes,RC,F20.5,V,,H (A+E+O),"Lift stations: lift station (medium large), submersible",USA,F,Inundation,WLSM/WLSL,"Yes, datapoints were given for reconstruction of the curve",Waste,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Generalized curve for commercial buildings, which also includes schools and hospitals",Yes,RC,F21.1,V,,H(E+O),Education and health,Europe,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Huizinga et al. (2017),M,No,flood,F_Vuln_Depth,Depth,m
Generalized curve for buildings,Yes,RC,F21.10,V,,H(E+O),School buildings,Belgium,F,Inundation,,"Yes, formula available",Education & Health,Vanneuville et al. (2006),R,No,flood,F_Vuln_Depth,Depth,m
,Yes,AC,F21.11,V,,H(E+O),School buildings,"Taipei, Taiwan",F,Inundation,"Cultural, School","No, but figure was given. Replicated figure to retrieve datapoints",Education & Health,Djordjević (2014),R,No,flood,F_Vuln_Depth,Depth,m
,Yes,AC,F21.12,V,,H(E+O),Health facilities,"Châtelaillon-Plage, France",F,Inundation,Health,"No, but figure was given. Replicated figure to retrieve datapoints",Education & Health,Batica et al. (2018),P,No,flood,F_Vuln_Depth,Depth,m
,Yes,AC,F21.13,V,,H(E+O),Educational facilities,"Châtelaillon-Plage, France",F,Inundation,Education,"No, but figure was given. Replicated figure to retrieve datapoints",Education & Health,Batica et al. (2018),P,No,flood,F_Vuln_Depth,Depth,m
"Generalized curve for commercial buildings, which also includes schools and hospitals",Yes,RC,F21.2,V,,H(E+O),Education and health,North America,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Huizinga et al. (2017),M,No,flood,F_Vuln_Depth,Depth,m
"Generalized curve for commercial buildings, which also includes schools and hospitals",Yes,RC,F21.3,V,,H(E+O),Education and health,"Central America, South America",F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Huizinga et al. (2017),M,"Yes, bandwidth(s) for curve(s)",flood,F_Vuln_Depth,Depth,m
"Generalized curve for commercial buildings, which also includes schools and hospitals",Yes,RC,F21.4,V,,H(E+O),Education and health,Asia,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Huizinga et al. (2017),M,"Yes, bandwidth(s) for curve(s)",flood,F_Vuln_Depth,Depth,m
"Generalized curve for commercial buildings, which also includes schools and hospitals",Yes,RC,F21.5,V,,H(E+O),Education and health,Oceania,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Huizinga et al. (2017),M,"Yes, bandwidth(s) for curve(s)",flood,F_Vuln_Depth,Depth,m
"Generalized curve for commercial buildings, which also includes schools and hospitals",Yes,RC,F21.6,V,,H(E+O),Education and health,Global,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Huizinga et al. (2017),M,No,flood,F_Vuln_Depth,Depth,m
Generalized curve for companies (incl. government) in diked areas,Yes,RC,F21.7,V,,H(E+O),School buildings,Netherlands,F,Inundation,Damagefunction 7,"Yes, formula available for reconstruction of curve",Education & Health,Kok et al. (2005),R,No,flood,F_Vuln_Depth,Depth,m
Generalized curve for offices in diked areas,Yes,RC,F21.8,V,,H(E+O),Education and health,Netherlands,F,Inundation,,"No, but figure was given. Replicated figure to retrieve datapoints",Education & Health,Bruijn et al. (2015),R,No,flood,F_Vuln_Depth,Depth,m
Generalized function for industry,Yes,RC,F21.9,V,,H(E+O),Hospitals,Belgium,F,Inundation,N/A; also used for airports,"Yes, formula available",Education & Health,Vanneuville et al. (2006),R,No,flood,F_Vuln_Depth,Depth,m
No damage due to submergence.,Yes,RC,F5.1,V,,H (A+E+O),Distribution circuits buried crossings,USA,F,Inundation,EDC/EDCB,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
No damage due to submergence.,Yes,RC,F6.1,V,,H (A+E+O),Distribution circuits (non-crossing),USA,F,Inundation,EDC,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Low vulnerability due to flooding of ends of buried cables and possible barge traffic impacting transmission towers. ,Yes,RC,F6.2,V,,H (A+E+O),Distribution circuits elevated crossings,USA,F,Inundation,EDC/EDCE,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Generalized curve for energy assets in diked areas,No,RC,F6.3,V,,H(E+O),Energy system,Netherlands,F,Inundation,Damagefunction 6,"Yes, formula available for reconstruction of curve",Energy,Kok et al. (2005),R,No,flood,F_Vuln_Depth,Depth,m
,Yes,RC,F7.1,V,,H(E+O),Roads,Europe,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Transportation,Huizinga et al. (2017),M,No,flood,F_Vuln_Depth,Depth,m
In diked areas,Yes,RC,F7.10,V,,H(E+O),Roads,Netherlands,F,Inundation,"Damagefunction 4; also applied to railway; and used for assessments in Belgium (Vaneuville et al., 2006)","Yes, formula available for reconstruction of curve",Transportation,Kok et al. (2005),R,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
,Yes,RC,F7.11,V,,H(E+O),Roads,Belgium,F,Inundation,,"Yes, formula available for reconstruction of curve",Transportation,Vanneuville et al. (2006),R,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
In diked areas,Yes,RC,F7.12,V,,H(E+O),Roads,Netherlands,F,Inundation,,"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,de Bruijn et al. (2015),R,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
,Yes,RC,F7.13,V,,H(E+O),Roads,Trans-boundary Rhine countries,F,Inundation,Traffic,Yes,Transportation,ICPR (2001),R,No,flood,F_Vuln_Depth,Depth,m
,Yes,RC,F7.2,V,,H(E+O),Roads,Asia,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Transportation,Huizinga et al. (2017),M,"Yes, bandwidth(s) for curve(s)",flood,F_Vuln_Depth,Depth,m
,Yes,RC,F7.3,V,,H(E+O),Roads,Global,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Transportation,Huizinga et al. (2017),M,No,flood,F_Vuln_Depth,Depth,m
Sophisticated accessories (low flow),Yes,RC,F7.4,V,,H(E+O),Motorways and trunk roads (with 1m embankment),Europe,F,Inundation,C1,"Yes, datapoints were given for reconstruction of the curve",Transportation,van Ginkel et al. (2021),P,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
Sophisticated accessories (high flow),Yes,RC,F7.5,V,,H(E+O),Motorways and trunk roads (with 1m embankment),Europe,F,Inundation,C2,"Yes, datapoints were given for reconstruction of the curve",Transportation,van Ginkel et al. (2021),P,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
Without sophisticated accessories - simple roads (low flow),Yes,RC,F7.6,V,,H(E+O),Motorways and trunk roads (with 1m embankment),Europe,F,Inundation,C3,"Yes, datapoints were given for reconstruction of the curve",Transportation,van Ginkel et al. (2021),P,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
Without sophisticated accessories - simple roads (high flow),Yes,RC,F7.7,V,,H(E+O),Motorways and trunk roads (with 1m embankment),Europe,F,Inundation,C4,"Yes, datapoints were given for reconstruction of the curve",Transportation,van Ginkel et al. (2021),P,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
low flow,Yes,RC,F7.8,V,,H(E+O),Other roads (no embankent),Europe,F,Inundation,C5,"Yes, datapoints were given for reconstruction of the curve",Transportation,van Ginkel et al. (2021),P,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
high flow,Yes,RC,F7.9,V,,H(E+O),Other roads (no embankent),Europe,F,Inundation,C6,"Yes, datapoints were given for reconstruction of the curve",Transportation,van Ginkel et al. (2021),P,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
"Double-tracked railway with a subtructure, superstructure, catenary and signals",Yes,AD (two-staged damage approach),F8.1,V,,H(A+E+O),Railways,Austria,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Transportation,Kellerman et al. (2015),P,No,flood,F_Vuln_Depth,Depth,m
Double-tracked railway in diked areas,Yes,RC,F8.2,V,,H(E+O),Railways,Netherlands,F,Inundation,Damagefunction 4,"Yes, formula available for reconstruction of curve",Transportation,Kok et al. (2005),R,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
,Yes,RC,F8.3,V,,H(E+O),Railways,Belgium,F,Inundation,N/A; same as Kok et al. (2005) for roads/railways,"Yes, formula available",Transportation,Vanneuville et al. (2006),R,No,flood,F_Vuln_Depth,Depth,m
,Yes,RC,F8.4,V,,H(E+O),Railways,Netherlands,F,Inundation,N/A; also used for roads ,"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,de Bruijn et al. (2015),R,No,flood,F_Vuln_Depth,Depth,m
including roads and railways,Yes,RD,F8.5,V,,H(E+O),Railways,Europe,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Transportation,Huizinga et al. (2017),M,No,flood,F_Vuln_Depth,Depth,m
including roads and railways,Yes,RD,F8.6,V,,H(E+O),Railways,Asia,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Transportation,Huizinga et al. (2017),M,"Yes, bandwidth(s) for curve(s)",flood,F_Vuln_Depth,Depth,m
including roads and railways,Yes,RD,F8.7,V,,H(E+O),Railways,Global,F,Inundation,,"Yes, datapoints were given for reconstruction of the curve",Transportation,Huizinga et al. (2017),M,No,flood,F_Vuln_Depth,Depth,m
Generic curve for industry is used for train stations,Yes ,RC,F8.8,V,,H(E+O),Train stations,Belgium,F,Inundation,N/A; also used for airports Vanneuville et al. 2006,"Yes, formula available",Transportation,Vanneuville et al. (2006),R,No,flood,F_Vuln_Depth,Depth,m
Generic curve: also used for agriculture and recreation parks; in diked areas,Yes,RC,F9.1,V,,H(E+O),Airports,Netherlands,F,Inundation,Damagefunction 1,"Yes, formula available for reconstruction of curve",Transportation,Kok et al. (2005),R,"Yes, in costs",flood,F_Vuln_Depth,Depth,m
,Yes,RC,F9.2,V,,H(E+O),Airports,Netherlands,F,Inundation,Same as road function,"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,de Bruijn et al. (2015),R,No,flood,F_Vuln_Depth,Depth,m
,Yes ,RC,F9.3,V,,H(E+O),Airports,Belgium,F,Inundation,N/A; also used for train stations ,"Yes, formula available",Transportation,Vanneuville et al. (2006),R,No,flood,F_Vuln_Depth,Depth,m
,Yes,RC,L1.1,F,1 - 'Complete',H (A+E+O),Power plant,USA,L,Permanent Ground Displacement ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
,Yes,RC,L12.1,F,1 - 'Complete',H (A+E+O),Central offices and broadcasting stations,USA,L,Permanent Ground Displacement ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Telecommunication,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
Above ground tanks,Yes,RC,L13.1,F,1 - 'Complete',H (A+E+O),Water storage tanks,USA,L,Permanent Ground Displacement,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
Buried concrete tank,Yes,RC,L13.12,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Water storage tanks,USA,L,Peak Ground Displacement,PSTBC,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
,No,RC,L16.1,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: PVC, joint type: rubber gasket",No,RC,L16.10,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: ductile iron, joint type:  rubber gasket",No,RC,L16.11,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
,No,RC,L16.12,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: cement",No,RC,L16.13,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: rubber gasket",No,RC,L16.14,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: mechanical restrained",No,RC,L16.15,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: arc welded, lap welds (large diameter, non  corrosive)",No,RC,L16.16,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: rubber gasket",No,RC,L16.17,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: rubber gasket",No,RC,L16.18,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: cement",No,RC,L16.19,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: cement",No,RC,L16.2,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: concrete with steel cylinder, joint type: welded",No,RC,L16.20,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material:  concrete with steel cylinder, joint type: cement",No,RC,L16.21,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material:  concrete with steel cylinder, joint type: rubber gasket",No,RC,L16.22,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material:  PVC, joint type: rubber gasket",No,RC,L16.23,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: ductile iron, joint type: rubber gasket",No,RC,L16.24,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: rubber gasket, mechanical",No,RC,L16.3,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: arc welded single lap",No,RC,L16.4,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: rubber gasket",No,RC,L16.5,V (repair rate),,H (E + O),Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: rubber gasket",No,RC,L16.6,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: cement",No,RC,L16.7,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: concrete, joint type: welded",No,RC,L16.8,V (repair rate),,H (E + O),Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: concrete, joint type: cement",No,RC,L16.9,V (repair rate),,H (E + O),Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Water,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
,Yes,RC,L18.1,F,1 - 'Complete',H (A+E+O),Wastewater treatment plant,USA,L,Permanent Ground Displacement,,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
