additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
"Abestos cement, rubber gasket join type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.16,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Abestos cement, cement joint type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.17,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete with stl. Cyl., lap-arc welded join type, 16 inches in diameter and larger, without seismic design",No,RC,E16.18,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete with stl. Cyl., cement join type, 16 inches in diameter and larger, without seismic design",No,RC,E16.19,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Brittle pipelines: abestos cement, concrete, and cast iron pipes, welded steel pipes with gas-welded joints",Yes,RC,E16.2,V (repair rate),,E,Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available in HAZUS (2020)",Water,FEMA (2020),M,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete with stl. Cyl., rubber gasket join type, 16 inches in diameter and larger, without seismic design",No,RC,E16.20,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC, rubber gasket join type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.21,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Ductile iron, rubber gasket join type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.22,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC, continious joint type continuous (i.e., different parts of pipes are connected with each other using glue and heating), diameter 25-500 mm",No,RC,E16.23,V (repair rate),,E,Buried pipelines,China,E,Peak Ground Velocity,,"Yes, formula available",Water,Shih & Chang (2006),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC, continious joint type continuous (i.e., different parts of pipes are connected with each other using glue and heating), diameter 25-500 mm",No,RC,E16.24,V (repair rate),,E,Buried pipelines,China,E,Peak Ground Acceleration,,"Yes, formula available",Water,Shih & Chang (2006),C,No,earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
